id,Gender,Married,Dependents,Education,Self_Employed,Total_Income,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
392,Male,Yes,0,Graduate,No,253692,64800,360,1,Urban,Y
393,Male,Yes,2,Not Graduate,No,195372,61020,180,1,Semiurban,Y
394,Male,Yes,2,Graduate,No,243000,61020,360,1,Urban,Y
395,Male,Yes,2,Graduate,No,203040,72900,360,1,Semiurban,Y
396,Female,No,0,Graduate,No,171720,38340,360,0,Urban,N
397,Male,Yes,0,Graduate,No,242568,51300,360,1,Urban,Y
398,Male,No,0,Not Graduate,No,300672,58860,360,1,Rural,Y
399,Female,No,0,Graduate,No,178200,55620,360,0,Semiurban,N
400,Male,Yes,2,Not Graduate,No,156006,24300,180,0,Urban,N
401,Male,No,0,Not Graduate,No,148770,35100,300,1,Rural,N
402,Male,No,0,Graduate,No,1215000,55620,360,1,Semiurban,Y
403,Female,No,0,Not Graduate,No,106002,28620,360,1,Semiurban,Y
404,Female,No,0,Graduate,Yes,401814,104760,360,1,Rural,N
405,Female,No,0,Graduate,No,245538,62100,360,1,Semiurban,Y
406,Male,Yes,0,Not Graduate,No,246618,62100,360,1,Urban,Y
407,Female,No,0,Not Graduate,No,119502,35640,360,1,Rural,Y
408,Male,Yes,1,Graduate,No,448200,82080,300,0,Semiurban,N
409,Male,Yes,3,Graduate,No,4374000,194400,360,0,Rural,N
410,Female,No,1,Not Graduate,Yes,208818,33480,360,1,Semiurban,N
411,Male,Yes,0,Graduate,,337824,86400,360,1,Urban,Y
412,Male,Yes,0,Not Graduate,No,329184,117720,360,0,Rural,N
413,Male,Yes,0,Not Graduate,No,231444,59400,360,1,Rural,Y
414,Female,Yes,0,Not Graduate,No,290844,96120,360,0,Semiurban,N
415,Female,No,0,Graduate,No,161730,32400,360,1,Urban,Y
416,Female,No,1,Graduate,No,140400,86400,360,1,Urban,N
417,Male,Yes,2,Graduate,Yes,1166400,129060,360,1,Urban,N
418,Male,Yes,0,Graduate,No,205092,60480,360,1,Rural,Y
419,Male,Yes,0,Graduate,No,251802,74520,360,1,Semiurban,Y
420,Male,Yes,0,Graduate,No,314766,74520,360,1,Rural,Y
421,Female,No,0,Not Graduate,No,146880,43200,360,0,Urban,N
422,Male,Yes,0,Graduate,No,191106,54000,360,1,Urban,Y
423,Male,Yes,1,Graduate,No,481518,59400,360,0,Urban,N
424,Male,Yes,0,Graduate,No,803520,51840,360,1,Semiurban,Y
425,Male,Yes,0,Graduate,No,376164,65340,360,1,Rural,Y
426,Female,No,1,Not Graduate,No,248724,43740,360,1,Rural,N
427,Male,Yes,2,Graduate,No,320490,71820,360,1,Semiurban,Y
428,Male,Yes,0,Graduate,No,158550.48,46980,360,1,Rural,Y
429,Male,No,0,Not Graduate,No,146718,32400,180,1,Urban,Y
430,Female,No,1,Graduate,Yes,465696,81000,360,1,Semiurban,Y
431,Male,No,0,Graduate,No,351000,56700,360,0,Rural,N
432,Male,No,0,Graduate,,695304,218700,360,1,Semiurban,Y
433,Male,Yes,0,Graduate,No,257310,77220,360,1,Semiurban,Y
434,Male,No,0,Graduate,No,202500,54000,360,1,Urban,Y
435,Female,,,Graduate,No,542538,89100,240,1,Semiurban,Y
436,Male,No,0,Graduate,No,203958,27000,360,1,Semiurban,Y
437,Male,Yes,0,Graduate,No,180252,89100,360,1,Urban,Y
438,Male,No,0,Graduate,Yes,562464,100980,360,0,Urban,N
439,Female,Yes,0,Not Graduate,Yes,385668,74520,360,1,Rural,Y
440,Male,No,0,Graduate,No,471096,100980,360,1,Semiurban,Y
441,Male,Yes,0,Graduate,No,525636,97200,360,1,Rural,Y
442,Male,No,3,Not Graduate,No,361800,79920,360,1,Semiurban,Y
443,Male,No,1,Graduate,No,2036826,82080,360,1,Semiurban,Y
444,Male,Yes,0,Graduate,No,845964,94500,300,1,Rural,Y
445,Male,Yes,1,Graduate,Yes,252504,70200,360,1,Rural,Y
446,Male,Yes,2,Not Graduate,No,251208,59400,360,1,Rural,Y
447,Male,Yes,0,Graduate,,265410,29700,360,1,Rural,N
448,Male,Yes,2,Graduate,No,272700,81000,360,0,Rural,N
449,Male,No,1,Not Graduate,Yes,232794,102600,360,1,Semiurban,N
450,Male,Yes,2,Not Graduate,No,192456,67500,360,0,Rural,N
451,Male,Yes,2,Not Graduate,No,184356,32400,300,1,Urban,Y
452,Male,Yes,0,Graduate,No,306774,80460,360,0,Rural,N
453,Male,Yes,0,Graduate,No,267246,48600,180,0,Rural,Y
454,Male,No,0,Graduate,Yes,382590,45360,360,1,Semiurban,Y
455,Male,Yes,2,Graduate,No,208386,51840,360,1,Semiurban,Y
456,Male,Yes,0,Graduate,No,232254,63720,360,1,Urban,Y
457,Male,Yes,0,Graduate,No,338958,93420,360,1,Urban,N
458,Male,No,2,Graduate,No,235116,73440,360,1,Rural,Y
459,Male,Yes,0,Graduate,No,450036,86400,360,1,Semiurban,N
460,Male,Yes,0,Graduate,Yes,332964,86400,360,1,Semiurban,Y
461,Male,Yes,3,Graduate,No,417960,69120,180,1,Urban,Y
462,Male,Yes,0,Graduate,No,280962,82620,360,1,Rural,Y
463,Female,No,1,Not Graduate,,280314,71280,360,1,Semiurban,Y
464,Male,No,0,Graduate,No,224964,52920,360,0,Semiurban,N
465,Male,No,0,Graduate,No,324000,75600,360,1,Rural,Y
466,Male,Yes,3,Not Graduate,No,248994,37800,180,0,Urban,N
467,Male,Yes,0,Graduate,No,901368,59400,360,1,Semiurban,Y
468,Female,Yes,2,Not Graduate,,168858,52920,360,1,Semiurban,Y
469,Male,Yes,0,Graduate,No,366336,59400,360,1,Urban,N
470,Male,Yes,1,Graduate,Yes,298566,87480,360,1,Semiurban,Y
471,Male,Yes,1,Not Graduate,No,224262,61020,180,0,Rural,N
472,Male,Yes,3,Graduate,No,253314,54000,360,1,Semiurban,Y
473,Female,No,0,Graduate,Yes,135000,50220,360,1,Urban,Y
474,Male,No,2,Graduate,No,549720,87480,360,1,Rural,Y
475,Male,Yes,2,Graduate,Yes,947106,81000,360,1,Rural,Y
476,Male,Yes,2,Graduate,No,456300,124200,300,1,Semiurban,Y
477,Male,Yes,2,Graduate,No,256230,71280,360,0,Semiurban,N
478,Male,Yes,1,Graduate,Yes,1021518,46440,360,1,Semiurban,Y
479,Male,Yes,2,Graduate,No,245700,89100,360,1,Urban,N
480,Female,No,0,Not Graduate,No,234900,83160,360,1,Rural,Y
481,Male,Yes,3,Not Graduate,No,167130,61020,360,1,Rural,Y
482,Male,Yes,0,Graduate,No,282582,69120,360,1,Semiurban,Y
483,Male,Yes,0,Graduate,No,584982,126360,360,1,Semiurban,Y
484,Male,Yes,2,Graduate,No,449982,132840,360,1,Semiurban,Y
485,Male,Yes,1,Not Graduate,No,237276,70740,360,1,Rural,Y
486,Male,No,2,Graduate,No,191538,43200,360,0,Rural,N
487,Male,Yes,1,Graduate,No,989982,270000,360,1,Urban,N
488,Male,Yes,2,Graduate,Yes,359964,86400,360,1,Semiurban,Y
489,Male,No,0,Graduate,No,131490,40500,360,1,Urban,N
490,Male,No,0,Not Graduate,No,296136,51840,360,1,Semiurban,Y
491,Male,Yes,1,Not Graduate,No,349056,100440,360,1,Urban,Y
492,Male,No,0,Not Graduate,No,199314,59400,360,1,Rural,Y
493,Female,No,0,Not Graduate,Yes,932202,121500,360,1,Semiurban,Y
494,Male,Yes,0,Graduate,No,310716,64260,360,0,Rural,N
495,Female,Yes,1,Graduate,No,228906,56700,84,1,Semiurban,Y
496,Male,Yes,0,Not Graduate,No,232200,57780,360,1,Rural,Y
497,Male,Yes,0,Graduate,No,404028,59940,12,1,Urban,Y
498,Male,Yes,1,Graduate,Yes,156330,51300,360,1,Semiurban,Y
499,Male,No,0,Graduate,No,577746,112860,360,0,Rural,N
